RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
58,Brandon Paul,San,SG,26,64,9,18.7,13.6,0.166,43,0.512,73,0.548,54,0.278,0.492,0.504,2.3,1.1,6.6,0.6,9,0.39,0.11,0.45,5.1,93.8,97.4
59,Briante Weber,Hou,PG,25,13,9.1,18.9,11.5,0.228,4,1,13,0.385,9,0.444,0.5,0.547,2,1.4,8.6,1,15.2,0.77,0.23,0.54,6.2,106.8,89.9
60,Briante Weber,Mem,PG,25,5,23.8,49.5,12,0.253,6,0.667,19,0.526,2,0,0.476,0.508,4.8,3.4,8.3,1.8,11.1,1.6,0.4,1.6,5.2,92.8,104.8
61,Brice Johnson,Lac,F,23,9,4.3,8.9,17.9,0.252,2,1,10,0.7,1,0,0.636,0.673,1.8,1.4,18.6,0.1,4,0.67,0.22,0.44,5.9,102.6,82.5
62,Brice Johnson,Mem,F,23,9,6.7,13.9,25,0.03,3,0.333,31,0.419,0,0,0.419,0.418,3,2,17.4,0.1,3,0.33,0.44,0.11,5,93.6,101.3
63,Brook Lopez,Lal,C,29,74,23.4,48.8,23.5,0.102,158,0.703,468,0.549,325,0.345,0.536,0.557,13,4,9,1.7,11.6,0.39,1.32,1.32,7.6,108,100.8
64,Bruno Caboclo,Tor,SF,22,2,3.4,7,13.1,0,0,0,0,0,2,0,0,0,0,0.5,8.4,0.5,17.5,0.5,0,0,0,,
65,Bruno Caboclo,Sac,SF,22,10,10,20.8,16.1,0.112,6,0.833,14,0.429,15,0.2,0.362,0.411,2.6,2.1,12,0.3,4.2,0.2,0.4,0.4,4.7,89.4,108.2
66,Bryn Forbes,San,SG,24,80,19,39.5,16.7,0.065,72,0.667,269,0.446,228,0.39,0.51,0.525,6.9,1.4,4,1,7.8,0.35,0.03,0.46,4.5,105.7,103.4
67,Buddy Hield,Sac,SG,24,80,25.3,52.7,24.3,0.113,81,0.877,525,0.457,408,0.431,0.54,0.557,13.5,3.8,8.6,1.9,12.8,1.06,0.28,1.55,7.3,104.9,106.9
68,C.J. Williams,Lac,SG,27,38,18.6,38.7,13.7,0.089,16,0.813,119,0.546,78,0.282,0.497,0.512,5.5,1.5,4.4,1.1,8.5,0.82,0.34,0.53,4.5,104.6,105.5
69,Caleb Swanigan,Por,PF,20,27,7,14.6,19.9,0.209,18,0.667,52,0.442,8,0.125,0.408,0.449,2.3,2,15.5,0.5,10.7,0.19,0.11,0.67,7.5,88.1,86.9
70,Cameron Payne,Chi,PG,23,25,23.3,48.5,19.3,0.14,16,0.75,124,0.419,91,0.385,0.486,0.498,8.8,2.8,6.4,4.5,30,1.04,0.36,1.44,8.2,104.8,106.4
71,Caris LeVert,Bro,SG,23,71,26.2,54.7,22.5,0.158,187,0.711,490,0.48,245,0.347,0.493,0.525,12.1,3.7,7.4,4.2,26,1.15,0.31,2.15,8.7,102.9,104.9
72,Carmelo Anthony,Okc,SF,33,78,32.1,66.8,23.2,0.073,193,0.767,695,0.436,474,0.357,0.476,0.503,16.2,5.8,10,1.3,6.5,0.6,0.63,1.27,6.2,103.6,102.9
