RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
401,Marquese Chriss,Pho,PF,20,72,21.2,44.2,18.2,0.164,158,0.608,287,0.509,190,0.295,0.482,0.509,7.7,5.5,13.8,1.2,8.1,0.71,0.97,1.49,7,95.4,99.8
402,Marquis Teague,Mem,PG,24,3,24.6,51.3,12.9,0.142,5,0.4,12,0.25,4,0.25,0.281,0.302,3.7,2,4.7,4.3,24.8,1.33,0,1,5.2,83.3,108.7
403,Marreese Speights,Orl,C,30,52,13,27,26.9,0.097,55,0.727,116,0.448,233,0.369,0.519,0.539,7.7,2.6,10.8,0.8,9.8,0.15,0.42,0.77,7.8,101.2,97.1
404,Marshall Plumlee,Mil,C,25,8,6.5,13.5,11.4,0.23,16,0.75,3,0.333,0,0,0.333,0.697,1.8,2.1,19.2,0.3,4.8,0,0.13,0.38,6.4,129.3,91.6
405,MarShon Brooks,Mem,SG,29,7,27.5,57.3,29.9,0.125,23,0.87,70,0.457,32,0.594,0.593,0.629,20.1,3.1,6.6,3.6,26,1.57,0.43,2.29,8.8,117.5,112.8
406,Marvin Williams,Cha,PF,31,78,25.7,53.6,14.8,0.097,123,0.829,258,0.512,305,0.413,0.57,0.603,9.5,4.7,10,1.2,7,0.72,0.49,0.85,5.9,118,104.8
407,Mason Plumlee,Den,C,27,74,19.5,40.5,16.7,0.189,180,0.456,367,0.602,1,0,0.601,0.586,7.1,5.4,15.6,1.9,14.4,0.66,1.09,1.41,8.6,111.4,98.8
408,Matt Costello,San,SF,24,4,8.1,16.8,6.9,0.2,0,0,4,0.5,0,0,0.5,0.5,1,2.3,15.5,0.5,8.3,0.5,0.5,0.25,5.2,101.4,79.4
409,Matt Williams Jr.,Mia,SG,24,3,3.8,7.9,27.6,0.143,0,0,1,1,5,0.2,0.417,0.417,1.7,0.3,4.9,0,0,0,0,0.33,0,,
410,Matthew Dellavedova,Mil,PG,27,38,18.7,39,13.5,0.23,27,0.926,74,0.351,78,0.372,0.457,0.5,4.3,1.7,5.3,3.8,27.4,0.37,0,1.29,6.5,104.7,106.8
411,Maurice Harkless,Por,SF,24,59,21.4,44.6,12.6,0.11,59,0.712,179,0.547,118,0.415,0.577,0.596,6.5,2.7,7,0.9,6,0.81,0.73,0.68,4.7,116.7,101.9
412,Maxi Kleber,Dal,F,26,72,16.8,34.9,13.8,0.082,59,0.746,181,0.613,128,0.313,0.553,0.576,5.4,3.3,10.8,0.7,6.4,0.36,0.65,0.42,5.5,117.3,102.9
413,Meyers Leonard,Por,PF,25,33,7.7,16,16.1,0.108,11,0.818,52,0.673,26,0.423,0.66,0.676,3.4,2.1,15,0.5,10.6,0.21,0,0.3,7.9,129.3,92.2
414,Michael Beasley,Nyk,SF,29,74,22.3,46.5,26.9,0.14,159,0.78,720,0.521,86,0.395,0.529,0.557,13.2,5.6,13.9,1.7,12.5,0.49,0.58,1.93,9,103.6,104
415,Michael Carter-Williams,Cha,PG,26,52,16.1,33.4,16.6,0.162,89,0.82,170,0.365,59,0.237,0.362,0.446,4.6,2.7,8.9,2.2,19.4,0.85,0.44,1,7.5,97.7,97.5
416,Michael Kidd-Gilchrist,Cha,SF,24,74,25,52.1,16.2,0.078,171,0.684,558,0.505,2,0,0.504,0.536,9.2,4.1,8.8,1,5.9,0.69,0.43,0.73,5.4,109.5,103.4
417,Mike Conley,Mem,PG,30,12,31.1,64.8,25.9,0.084,66,0.803,91,0.44,77,0.312,0.452,0.52,17.1,2.3,4.2,4.1,22.1,1,0.25,1.5,7,108.1,110.4
418,Mike James,Pho,PG,27,32,20.9,43.5,25.2,0.121,84,0.762,215,0.442,97,0.268,0.429,0.476,10.4,2.8,7.1,3.8,29,0.84,0.22,1.5,9.2,99.7,109.3
419,Mike James,Nor,PG,27,4,4.5,9.3,24.2,0.1,0,0,8,0.25,1,0,0.222,0.222,1,0.3,3,1.5,43.8,0.25,0,0.25,6.8,76.9,97.1
420,Mike Muscala,Atl,C,26,53,20,41.7,15.7,0.11,62,0.919,145,0.559,167,0.371,0.558,0.597,7.6,4.3,12.1,1,7.3,0.58,0.51,0.79,6.4,115.5,105.3
421,Mike Scott,Was,PF,29,76,18.5,38.6,20,0.124,76,0.658,361,0.582,163,0.405,0.59,0.599,8.8,3.3,9.9,1.1,9,0.3,0.13,1.04,6.9,109.2,101.8
422,Miles Plumlee,Atl,C,29,55,16.7,34.8,12.8,0.234,60,0.45,180,0.583,0,0,0.583,0.574,4.3,4.1,13.9,0.8,7.2,0.31,0.55,1.15,5.8,102,104.7
423,Milos Teodosic,Lac,PG,30,45,25.2,52.5,18.2,0.203,46,0.848,128,0.492,232,0.379,0.542,0.564,9.5,2.8,6.1,4.6,26.2,0.51,0.11,2.16,7.9,106.8,105.7
424,Milton Doyle,Bro,PG,24,10,12.5,25.9,18.3,0.038,8,0.5,24,0.375,23,0.174,0.319,0.337,3.4,1.8,7.7,1,11.7,0.6,0.2,0.2,5.9,80.8,102.3
425,Mindaugas Kuzminskas,Nyk,SF,28,1,1.9,4,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
426,Mirza Teletovic,Mil,PF,32,10,15.9,33.2,18.1,0.109,0,0,12,0.333,45,0.467,0.623,0.623,7.1,2.3,8.5,1,9.5,0.4,0.1,0.7,6.4,113.1,105.5
427,Monte Morris,Den,PG,22,3,8.4,17.6,13.6,0.127,2,1,5,0.8,1,0,0.667,0.727,3.3,0.7,4.5,2.3,40.6,1,0,0.33,8.3,150.9,106.1
428,Montrezl Harrell,Lac,PF,24,76,17,35.4,23.8,0.095,222,0.626,541,0.641,7,0.143,0.636,0.647,11,4,13,1,10.1,0.47,0.68,0.89,8.3,124.1,101.3
429,Myke Henry,Mem,SF,25,20,18.9,39.4,15.7,0.144,10,0.6,51,0.431,58,0.328,0.463,0.472,5.4,1.9,5.8,1.1,8.9,1.55,0.3,0.95,4.7,91.3,105.9
430,Myles Turner,Ind,C,21,65,28.2,58.8,20,0.116,206,0.777,482,0.519,157,0.357,0.523,0.567,12.7,6.4,12.8,1.3,7,0.55,1.83,1.48,6.7,110.3,100.3
431,Nate Wolters,Uta,PG,26,5,3.8,7.8,14.4,0,0,0,6,0.167,0,0,0.167,0.167,0.4,0.4,6,0.2,7.2,0,0,0,3.3,,
432,Naz Mitrou-Long,Uta,PG,24,1,0.5,1,90,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
433,Nemanja Bjelica,Min,PF,29,67,20.5,42.6,14.3,0.117,45,0.8,188,0.505,183,0.415,0.563,0.581,6.8,4.1,11.5,1.3,8.7,0.75,0.24,0.78,6.5,114.2,102
434,Nene,Hou,C,35,52,14.6,30.4,18.9,0.117,107,0.636,237,0.574,2,0,0.569,0.594,6.5,3.4,13.2,0.9,9.5,0.54,0.27,0.73,7.4,117.9,91.2
435,Nerlens Noel,Dal,PF,23,30,15.7,32.8,13.8,0.181,28,0.75,104,0.529,1,0,0.524,0.558,4.4,5.6,19.8,0.7,6.3,1.03,0.73,0.87,6.6,109.8,93.2
436,Nick Collison,Okc,PF,37,15,5,10.4,18.2,0.221,13,0.385,19,0.684,0,0,0.684,0.627,2.1,1.3,14.8,0.3,8.2,0,0,0.47,7.5,105.4,102
437,Nick Young,Gol,SG,32,80,17.4,36.3,17.6,0.072,65,0.862,162,0.481,326,0.377,0.538,0.562,7.3,1.6,5,0.5,3.5,0.48,0.09,0.5,4.1,106.2,107.1
438,Nicolas Batum,Cha,SG,29,64,31,64.5,18.3,0.156,130,0.831,376,0.473,274,0.336,0.486,0.523,11.6,4.8,8.4,5.5,26.2,1.02,0.36,2.05,8.7,107.4,107.1
439,Nicolas Brussino,Atl,SF,24,4,2.5,5.2,8.8,0,0,0,0,0,2,0,0,0,0,0.8,16.9,0,0,0,0,0,0,,
440,Nigel Hayes,Lal,SF,23,2,5.4,11.1,13.6,0,1,1,1,1,2,0,0.333,0.436,1.5,0,0,1,25.1,0,0,0,0,116.7,117.4
441,Nigel Hayes,Tor,SF,23,2,3.1,6.5,21.2,0.333,0,0,0,0,2,1,1.5,1.5,3,0,0,0,0,0,0,0.5,0,,
442,Nigel Hayes,Sac,SF,23,5,21.1,43.9,12.8,0.033,2,0,16,0.375,12,0.167,0.321,0.312,3.6,4.4,11.9,0.8,5.2,0.4,0.6,0.2,4.4,77.2,106.8
443,Nik Stauskas,Phi,SG,24,6,7.5,15.6,8.4,0.45,2,1,3,0.333,1,0,0.25,0.41,0.7,0.2,1.2,0.2,2.7,0.67,0,0.67,1.6,51.5,102.3
444,Nik Stauskas,Bro,SG,24,35,13.7,28.5,16.6,0.12,27,0.704,51,0.373,99,0.404,0.527,0.547,5.1,1.8,7,1.1,11.9,0.14,0.11,0.63,6.3,104.1,111
445,Nikola Jokic,Den,PF,22,75,32.6,67.9,24.2,0.154,313,0.85,729,0.539,280,0.396,0.555,0.604,18.5,10.7,18.5,6.1,29.6,1.2,0.81,2.79,13.1,120.7,101.5
446,Nikola Mirotic,Chi,PF,26,25,24.9,51.8,25.7,0.084,79,0.823,141,0.525,161,0.429,0.588,0.624,16.8,6.4,13.7,1.6,11,0.6,0.52,1.24,8.9,116.9,104.9
447,Nikola Mirotic,Nor,PF,26,30,29.1,60.6,21.8,0.073,58,0.81,184,0.527,197,0.335,0.514,0.54,14.6,8.2,15.3,1.4,6.8,0.97,0.87,1.07,7.6,106.7,101.9
448,Nikola Vucevic,Orl,C,27,57,29.5,61.5,25.9,0.111,94,0.819,636,0.527,204,0.314,0.513,0.533,16.5,9.2,17.1,3.4,19.9,0.98,1.11,1.93,10.9,105.1,101.3
449,Noah Vonleh,Por,PF,22,33,14.4,30.1,11.5,0.12,31,0.742,90,0.5,6,0.333,0.5,0.543,3.6,5.1,19.1,0.4,3.8,0.18,0.33,0.45,5.4,113.1,97.7
450,Noah Vonleh,Chi,PG,22,21,19,39.6,18.1,0.096,27,0.481,78,0.5,60,0.3,0.478,0.484,6.9,6.9,19.3,1,8,0.62,0.29,0.76,7.6,101.3,104.1
451,Norman Powell,Tor,SG,24,70,15.2,31.6,18.9,0.144,39,0.821,188,0.516,186,0.285,0.472,0.492,5.5,1.7,6.3,1.3,11.8,0.53,0.23,0.94,6.1,94.5,99.8
452,OG Anunoby,Tor,SF,20,74,20,41.7,12.4,0.108,62,0.629,149,0.604,197,0.371,0.577,0.587,5.9,2.5,7,0.7,5,0.7,0.19,0.61,4.4,113,101.8
453,Okaro White,Mia,PF,25,6,13.3,27.6,10.3,0.055,3,0.667,5,0.6,11,0.364,0.563,0.577,3.3,1.8,7.8,0.3,3.5,0.17,0.17,0.17,3.6,119.9,104.6
454,Omari Johnson,Mem,F,28,4,18.8,39.1,14.3,0.125,0,0,9,0.556,12,0.333,0.524,0.524,5.5,2.8,8.5,1.8,14.5,0.5,0,0.75,6.4,108.4,108.3
455,Omer Asik,Nor,C,31,14,8.6,18,9.4,0.19,12,0.333,16,0.438,0,0,0.438,0.423,1.3,2.6,16.6,0.1,2,0.07,0.14,0.36,3.2,85.7,98.3
456,Omer Asik,Chi,C,31,4,15.3,31.9,7.4,0.383,1,0,6,0.333,0,0,0.333,0.311,1,2.5,8.7,0.3,2.1,0.25,0.5,1,2.4,52.6,104.9
457,Omri Casspi,Gol,SF,29,53,14,29.2,16.3,0.135,69,0.725,185,0.595,22,0.455,0.604,0.632,5.7,3.8,15.1,1,9.5,0.34,0.36,0.7,8,117.5,99.9
458,Otto Porter Jr.,Was,SF,24,77,31.6,65.8,18.4,0.074,128,0.828,572,0.537,313,0.441,0.581,0.602,14.7,6.4,11.5,2,10.1,1.51,0.53,0.97,7.3,119.9,104.1
459,Pascal Siakam,Tor,PF,23,81,20.7,43.2,15.7,0.111,87,0.621,366,0.612,132,0.22,0.537,0.549,7.3,4.5,12.1,2,13.5,0.77,0.52,0.83,7.8,113.3,98.3
460,Pat Connaughton,Por,SG,25,82,18.1,37.8,13.4,0.095,44,0.841,180,0.506,210,0.352,0.518,0.539,5.4,2,5.9,1.1,8.7,0.28,0.27,0.52,5,110.5,103.7
461,Patrick Beverley,Lac,SG,29,11,30.3,63.2,19.6,0.165,17,0.824,59,0.407,60,0.4,0.504,0.53,12.2,4.1,7.4,2.9,13.8,1.64,0.45,2.27,6.9,101.9,102.8
462,Patrick McCaw,Gol,SG,22,57,16.9,35.1,12.8,0.146,34,0.765,145,0.503,80,0.238,0.451,0.477,4,1.4,4.8,1.4,10.6,0.75,0.18,0.72,4.7,96.5,106.5
463,Patrick Patterson,Okc,PF,28,82,15.5,32.3,10.8,0.103,46,0.87,95,0.421,171,0.386,0.523,0.555,3.9,2.3,8.4,0.7,6.1,0.59,0.28,0.4,4.8,114.2,103.7
464,Patty Mills,San,PG,29,82,25.7,53.5,17.8,0.126,118,0.89,268,0.47,414,0.372,0.523,0.558,10,1.9,4.1,2.8,16,0.67,0.13,1.29,5.9,109.2,104.2
465,Pau Gasol,San,C,37,77,23.5,49,20.4,0.131,209,0.756,507,0.481,120,0.358,0.492,0.539,10.1,8,19,3.1,20.1,0.31,1.03,1.4,10.7,111.8,98.5
466,Paul George,Okc,SF,27,79,36.6,76.2,25.7,0.122,412,0.82,731,0.454,608,0.401,0.521,0.57,21.9,5.7,8.6,3.3,14.5,2.04,0.49,2.68,8.1,111.6,101.2
467,Paul Millsap,Den,PF,32,38,29.5,61.6,22.5,0.126,161,0.696,323,0.505,113,0.345,0.508,0.548,14.6,6.4,12.3,2.8,14.2,1.03,1.16,1.92,8.7,109.2,103.8
468,Paul Zipser,Chi,SF,23,54,15.3,31.8,15.2,0.149,26,0.731,124,0.355,110,0.336,0.425,0.444,4,2.4,8.5,0.9,8,0.37,0.28,0.8,5.4,84.5,103.3
469,PJ Dozier,Okc,PG,21,2,1.6,3.3,40.2,0.333,0,0,2,0.5,0,0,0.5,0.5,1,0.5,17.3,0,0,0,0,0.5,0,,
470,PJ Tucker,Hou,SF,32,82,27.8,58,10.5,0.137,60,0.717,131,0.435,310,0.371,0.52,0.537,6.1,5.6,11.3,0.9,4.6,0.94,0.32,0.9,4.5,107,99.1
471,Quincy Acy,Bro,PF,27,70,19.4,40.5,14.4,0.133,60,0.817,73,0.384,292,0.349,0.496,0.525,5.9,3.7,10,0.8,6,0.47,0.41,0.86,5.3,99.5,102.2
472,Quincy Pondexter,Chi,SG,29,23,8.5,17.7,15,0.163,17,0.824,27,0.407,22,0.136,0.316,0.398,2,1.2,7.4,0.4,6.3,0.35,0.09,0.48,4.6,81.5,101.2
473,Quinn Cook,Gol,PG,24,33,22.4,46.7,17.5,0.108,25,0.88,148,0.514,104,0.442,0.575,0.593,9.5,2.5,6.2,2.7,16.6,0.36,0.03,0.97,7.1,115.3,106.2
474,Rajon Rondo,Nor,PG,31,65,26.2,54.6,16.9,0.226,46,0.543,344,0.526,150,0.333,0.518,0.522,8.3,4,8.4,8.2,42.2,1.08,0.15,2.31,9.9,109.5,104.5
475,Ramon Sessions,Nyk,PG,31,13,12.9,26.8,19.5,0.201,15,0.8,42,0.357,11,0.182,0.34,0.403,3.7,1.4,6,2.1,21.9,0.54,0.08,1.15,6.9,83.2,106
476,Ramon Sessions,Was,PG,31,15,15,31.3,19.1,0.164,42,0.762,48,0.396,15,0.4,0.444,0.54,5.9,1.3,5,3.3,31.1,0.47,0.07,1.07,7.8,113.9,107.3
477,Rashad Vaughn,Mil,SG,21,22,7.9,16.4,14.8,0.071,6,0.667,15,0.533,35,0.371,0.55,0.56,2.7,0.8,5.8,0.5,9.9,0.18,0.14,0.18,5.2,112.5,108.8
478,Rashad Vaughn,Bro,SG,21,1,4.2,8.8,0,,0,0,0,0,0,0,,,0,0,0,1,30.1,0,0,0,0,,94.2
479,Rashad Vaughn,Orl,SG,21,5,7,14.6,10,0.25,0,0,4,0.25,2,0.5,0.417,0.417,1,0.8,6.3,0,0,0.2,0,0.4,0,67.7,109.7
480,Raul Neto,Uta,PG,25,41,12.2,25.3,18.3,0.178,35,0.743,104,0.481,47,0.404,0.52,0.55,4.5,1.2,5.6,1.8,22.9,0.32,0.1,0.88,7,105.8,101.2
481,Raymond Felton,Okc,PG,33,82,16.6,34.7,20.3,0.117,44,0.818,322,0.444,230,0.352,0.479,0.494,6.9,1.9,6.4,2.5,22.5,0.6,0.2,0.93,7.7,105.4,104.8
482,Reggie Bullock,Det,SF,26,62,27.9,58.2,15.7,0.076,49,0.796,265,0.536,281,0.445,0.603,0.615,11.3,2.5,4.9,1.5,8.4,0.76,0.21,0.76,5,118.7,108.3
483,Reggie Hearn,Det,SG,26,3,2.2,4.6,13.4,0,0,0,0,0,2,0.5,0.75,0.75,1,0,0,0,0,0,0,0,0,,
484,Reggie Jackson,Det,PG,27,45,26.7,55.6,27.1,0.135,134,0.836,408,0.475,169,0.308,0.471,0.516,14.6,2.8,5.7,5.3,32.8,0.6,0.09,2.2,9,105.5,104.8
485,Richard Jefferson,Den,SF,37,20,8.2,17,9.3,0.143,7,0.571,20,0.5,7,0.286,0.481,0.499,1.5,0.9,5.9,0.8,12,0.1,0.05,0.25,5,106.2,109.4
486,Richaun Holmes,Phi,PF,24,48,15.5,32.4,16.7,0.086,56,0.661,211,0.621,31,0.129,0.566,0.583,6.5,4.4,15.3,1.3,12.3,0.42,0.6,0.52,8.6,121,93.8
487,Ricky Rubio,Uta,PG,27,77,29.3,61,22.9,0.181,254,0.866,554,0.451,273,0.352,0.476,0.537,13.1,4.6,8.8,5.3,28.4,1.57,0.14,2.69,9.3,104.8,96.4
488,RJ Hunter,Hou,SG,24,5,9,18.8,22.4,0.087,2,1,6,0.667,14,0.214,0.425,0.455,3.8,1,6.2,0.6,10.3,0.6,0,0.4,5.8,91.7,91.3
489,Robert Covington,Phi,SF,27,80,31.6,65.9,17.2,0.123,136,0.853,286,0.497,550,0.369,0.534,0.563,12.6,5.4,9.2,2,8.7,1.71,0.9,1.58,6.5,106.6,97.8
490,Robin Lopez,Chi,C,29,64,26.4,55,20.4,0.135,90,0.756,631,0.536,14,0.286,0.533,0.552,11.8,4.5,9.2,1.9,12.3,0.22,0.83,1.67,7.1,106.1,110.1
491,Rodney Hood,Uta,SG,25,39,27.8,57.9,27.3,0.096,97,0.876,290,0.455,262,0.389,0.516,0.551,16.8,2.8,5.8,1.7,10.4,0.77,0.18,1.62,6.2,104.1,102.9
492,Rodney Hood,Cle,SG,25,21,25.3,52.8,18.3,0.032,32,0.813,128,0.492,71,0.352,0.505,0.533,10.8,2.6,5.7,1.4,8.4,0.71,0.24,0.33,5.4,111.3,107.8
493,Rodney McGruder,Mia,SG,26,18,16.6,34.6,12.1,0.05,8,0.5,38,0.553,35,0.429,0.596,0.595,5.1,1.8,6,0.9,8.4,0.44,0.17,0.22,4.9,124.2,105.1
494,Rodney Purvis,Orl,SG,23,16,18.1,37.7,18.8,0.081,15,0.867,55,0.4,52,0.25,0.388,0.423,6,1.7,5.1,1.1,8.6,0.19,0.19,0.63,4.9,86.2,107
495,Ron Baker,Nyk,SG,24,29,13.3,27.6,10.1,0.203,27,0.741,26,0.346,33,0.333,0.432,0.501,2.4,1,4.3,1.6,15.5,0.9,0.21,0.62,4.7,103.4,105.2
496,Rondae Hollis-Jefferson,Bro,SF,23,68,28.2,58.8,22.2,0.124,316,0.788,670,0.491,54,0.241,0.481,0.548,13.9,6.8,12.7,2.5,14.2,0.96,0.71,1.79,8.8,108.4,104.5
497,Royce O'Neale,Uta,SF,24,69,16.7,34.7,14.6,0.148,76,0.803,166,0.47,118,0.356,0.496,0.54,5,3.4,11.7,1.4,12,0.52,0.23,0.8,6.9,105.5,96.6
498,Rudy Gay,San,SF,31,57,21.6,45,24.6,0.115,145,0.772,419,0.516,118,0.314,0.506,0.545,11.5,5.1,13.1,1.3,9.8,0.81,0.67,1.37,7.9,106,98.2
499,Rudy Gobert,Uta,C,25,56,32.4,67.6,16.9,0.157,299,0.682,444,0.622,0,0,0.622,0.657,13.5,10.7,18.8,1.4,6.9,0.79,2.3,1.91,7.2,122.7,96.2
500,Russell Westbrook,Okc,PG,29,80,36.4,75.9,34.1,0.164,566,0.737,1361,0.485,326,0.298,0.477,0.524,25.4,10.1,15.3,10.3,49.8,1.84,0.25,4.76,15.2,108.6,100.2
501,Ryan Anderson,Hou,PF,29,66,26.1,54.5,14.4,0.076,93,0.774,141,0.539,339,0.386,0.568,0.592,9.3,5,10.8,0.9,5.1,0.36,0.32,0.65,5.3,121.3,102.6
502,Ryan Arcidiacono,Chi,PG,23,24,12.7,26.4,8.1,0.23,6,0.833,10,0.8,31,0.29,0.524,0.55,2,1,4.4,1.5,15.5,0.54,0,0.54,4.5,105,108.7
503,Salah Mejri,Dal,C,31,61,11.9,24.9,12.8,0.19,66,0.576,134,0.657,3,0,0.642,0.644,3.5,4,18.7,0.6,7.2,0.36,1.1,0.64,6.8,122.8,91.7
504,Sam Dekker,Lac,SF,23,73,12.1,25.2,15.5,0.107,56,0.661,199,0.593,60,0.167,0.514,0.534,4.2,2.4,10.9,0.5,6.2,0.33,0.12,0.47,5.7,107,104.9
505,Scotty Hopson,Dal,SG,28,1,8.4,17.5,15.6,0.347,2,0.5,1,0,0,0,0,0.266,1,0,0,1,15.1,0,0,1,0,53.5,119
506,Sean Kilpatrick,Bro,SG,28,16,11.4,23.8,26.3,0.144,19,0.947,44,0.318,43,0.256,0.351,0.414,4.9,2.2,10.2,0.9,12.5,0.13,0.06,1,7.5,80.3,109.3
507,Sean Kilpatrick,Mil,SG,28,23,8.9,18.6,21.8,0.091,19,0.947,36,0.5,46,0.283,0.457,0.515,4,1.1,7.1,0.7,10.9,0.22,0.04,0.39,6.5,101.8,107.5
508,Sean Kilpatrick,Lac,SG,28,4,9.6,19.9,22.5,0.05,2,1,11,0.364,7,0.429,0.472,0.503,4.8,0.5,2.9,0.8,12,0,0,0.25,5.2,105.1,112.3
509,Sean Kilpatrick,Chi,SG,28,9,23.7,49.4,26.9,0.083,32,0.813,59,0.475,48,0.396,0.528,0.574,15.4,2.8,6.3,1.4,10.5,0.67,0.33,1.22,6.6,109,111.5
510,Semi Ojeleye,Bos,PF,23,73,15.8,32.8,9,0.108,41,0.61,63,0.397,125,0.32,0.452,0.473,2.7,2.2,7.7,0.3,2.4,0.29,0.05,0.34,3.1,97.2,100.7
511,Serge Ibaka,Tor,PF,28,76,27.5,57.4,19.4,0.097,118,0.797,487,0.559,297,0.36,0.552,0.574,12.6,6.3,12.8,0.8,4.4,0.38,1.3,1.18,5.8,109.3,98.9
512,Shabazz Muhammad,Min,SF,25,32,9.4,19.6,20.5,0.036,31,0.71,102,0.422,19,0.211,0.405,0.446,3.8,1.4,8.6,0.2,3.3,0.16,0.06,0.16,4.3,98.7,107.8
513,Shabazz Muhammad,Mil,SF,25,11,10.6,22.1,29.5,0.013,19,0.895,59,0.576,8,0.375,0.575,0.624,8.5,2.8,15.6,0.6,11.9,0.36,0.09,0.09,9.2,129.9,106
514,Shabazz Napier,Por,PG,26,74,20.8,43.2,19.5,0.132,138,0.841,313,0.45,218,0.376,0.497,0.544,8.7,2.3,6,2,14.6,1.09,0.19,1.22,6.6,107,103.9
515,Shane Larkin,Bos,PG,25,54,14.3,29.9,15.5,0.123,37,0.865,133,0.398,86,0.36,0.454,0.491,4.3,1.7,6.5,1.8,18.5,0.54,0.06,0.61,6.6,104.7,100.2
516,Shaquille Harrison,Pho,PG,24,23,16.7,34.8,18,0.135,38,0.737,98,0.541,26,0.231,0.5,0.54,6.6,2.7,8.5,2.4,22.1,1.13,0.3,0.96,8.4,108.9,102.6
517,Shaun Livingston,Gol,PG,32,71,15.9,33.1,16.7,0.136,61,0.82,338,0.509,5,0,0.501,0.533,5.5,1.8,6.5,2,16.8,0.49,0.3,0.82,6.8,107.7,103
518,Shelvin Mack,Orl,PG,27,69,19.8,41.2,17.6,0.163,97,0.711,275,0.473,139,0.345,0.488,0.518,6.9,2.4,6.7,3.9,29.5,0.78,0.12,1.29,8.1,106.5,107.4
519,Sindarius Thornwell,Lac,SG,23,73,15.8,33,12.1,0.163,88,0.67,172,0.448,61,0.377,0.479,0.519,3.9,1.9,6.7,0.9,7.8,0.66,0.34,0.73,4.8,100.9,102.7
520,Skal Labissiere,Sac,PF,21,60,20.7,43.1,21.1,0.125,118,0.805,407,0.459,51,0.353,0.467,0.513,8.7,4.8,13.2,1.2,9.1,0.42,0.82,1.22,7.1,102.9,103.6
521,Solomon Hill,Nor,SF,26,12,15.6,32.5,12.2,0.171,6,0.5,20,0.35,21,0.19,0.317,0.332,2.4,3,10.4,1.8,14.4,0.58,0.08,0.75,6,84.4,99.4
522,Spencer Dinwiddie,Bro,PG,24,80,28.8,60.1,20.3,0.118,268,0.813,405,0.452,433,0.326,0.471,0.527,12.6,3.2,6,6.6,35,0.86,0.29,1.6,8.9,114.6,106.7
523,Stanley Johnson,Det,SF,21,69,27.4,57.2,16.4,0.11,145,0.772,326,0.439,234,0.286,0.435,0.48,8.7,3.7,7.3,1.6,8.5,1.38,0.2,1.12,5.4,96.8,100.2
524,Stephen Curry,Gol,PG,29,51,32,66.6,31,0.133,302,0.921,363,0.595,501,0.423,0.618,0.675,26.4,5.1,9,6.1,30.3,1.57,0.16,3,11.7,124.7,104.1
525,Sterling Brown,Mil,SG,22,54,14.4,30,14,0.104,24,0.875,114,0.439,91,0.352,0.478,0.503,4,2.6,10.8,0.5,4.5,0.57,0.24,0.46,4.8,100.1,102.2
526,Steven Adams,Okc,C,24,76,32.7,68.2,16.7,0.132,287,0.557,710,0.631,2,0,0.629,0.63,13.9,9,15.3,1.2,5.5,1.21,1.03,1.68,6.5,124.1,101.9
527,T.J. McConnell,Phi,PG,25,76,22.5,46.8,13.8,0.204,39,0.795,359,0.51,62,0.435,0.531,0.545,6.3,3,7.1,4,24.5,1.21,0.17,1.47,7.5,108.5,101.4
528,Taj Gibson,Min,PF,32,82,33.2,69.3,14.7,0.098,185,0.768,702,0.595,35,0.2,0.581,0.61,12.2,7.1,12.4,1.2,5.2,0.76,0.72,1.09,5.7,122.6,105.8
529,Tarik Black,Hou,C,26,51,10.5,21.9,15.6,0.184,63,0.46,116,0.638,11,0.091,0.594,0.582,3.5,3.2,17.1,0.3,3.7,0.41,0.59,0.69,5.7,110.7,86.5
530,Taurean Prince,Atl,SF,23,82,30,62.6,22.1,0.153,180,0.844,518,0.461,457,0.385,0.516,0.549,14.1,4.7,8.8,2.6,13.9,1.04,0.51,2.33,7.4,100.2,106.5
531,Terrance Ferguson,Okc,SG,19,61,12.5,26.1,10.4,0.06,10,0.9,49,0.612,120,0.333,0.533,0.545,3.1,0.8,3.4,0.3,3.4,0.39,0.16,0.18,2.9,114.9,102.2
532,Terrence Ross,Orl,SF,26,24,25,52.1,17.3,0.123,36,0.75,98,0.469,93,0.323,0.476,0.505,8.7,3,6.7,1.6,9.3,1.13,0.46,1.21,5.6,96.6,106.1
533,Terry Rozier,Bos,PG,23,80,25.9,53.9,20.4,0.085,149,0.772,398,0.41,402,0.381,0.491,0.52,11.3,4.7,9.9,2.9,17.5,1,0.24,1,8.3,109.1,100.3
534,Thabo Sefolosha,Uta,SF,33,38,21.2,44.2,16.4,0.102,54,0.815,156,0.551,84,0.381,0.558,0.591,8.2,4.2,11.3,0.9,6.3,1.37,0.32,0.79,5.9,113.8,96.9
535,Thaddeus Young,Ind,PF,29,81,32.2,67.1,17.3,0.104,92,0.598,684,0.531,181,0.32,0.52,0.527,11.8,6.3,11.1,1.9,8.5,1.67,0.44,1.3,6.5,108.4,103.8
