Date,Team,Acquired,Relinquished,Notes
4/10/18,Mavericks,, Doug McDermott,elbow injury (out for season)
4/10/18,Rockets,, Luc Richard Mbah a Moute / Luc Mbah a Moute,dislocated right shoulder (DTD)
4/10/18,Suns,, Troy Daniels,sprained right ankle (DTD)
4/10/18,Thunder,, Alex Abrines,concussion (DTD)
4/10/18,Wizards, Ian Mahinmi,,returned to lineup
4/11/18,76ers,, J.J. Redick,tightness in lower back (DTD)
4/11/18,Grizzlies,, Marc Gasol,rest (DTD)
4/11/18,Knicks,, Courtney Lee,sprained left ankle (out for season)
4/11/18,Pistons,, Jameer Nelson,illness (out for season)
4/11/18,Rockets,, Chris Paul,rest (DTD)
4/11/18,Rockets,, Clint Capela,hand injury (DTD)
4/11/18,Rockets,, Eric Gordon,ankle injury / rest (DTD)
4/11/18,Rockets,, James Harden,rest (DTD)
4/12/18,Hawks,, DeAndre' Bembry,fractured right wrist (out for season)
4/14/18,76ers, J.J. Redick,,returned to lineup
4/15/18,Rockets, Chris Paul,,returned to lineup
4/15/18,Rockets, Clint Capela,,returned to lineup
4/15/18,Rockets, Eric Gordon,,returned to lineup
4/15/18,Rockets, James Harden,,returned to lineup
4/18/18,Timberwolves,, Justin Patton,surgery on left foot (out for season)
4/20/18,Pacers,, Joe Young,illness (DTD)
4/22/18,Pacers, Joe Young,,returned to lineup
4/23/18,Timberwolves,, Tyus Jones,sore right knee (DTD)
4/25/18,Timberwolves, Tyus Jones,,returned to lineup
4/26/18,Nuggets,, Mason Plumlee,surgery to repair core muscle injury
4/27/18,Wizards,, Otto Porter Jr.,surgery on left leg to remove blood around a contusion (out indefinitely)
4/30/18,Celtics,, Jaylen Brown,strained right hamstring (DTD)
5/3/18,Celtics, Jaylen Brown,,returned to lineup
5/7/18,Jazz,, Dante Exum,strained left hamstring (out for season)
5/9/18,Celtics,, Shane Larkin,sprained left shoulder (out for season)
5/9/18,Thunder,, Paul George,arthroscopic surgery on right knee (out indefinitely)
5/22/18,Warriors,, Andre Iguodala,bruised left leg (DTD)
5/25/18,Rockets,, Chris Paul,strained right hamstring (out for season)
5/26/18,Cavaliers,, Kevin Love,concussion (DTD)
5/31/18,Cavaliers, Kevin Love,,returned to lineup
6/6/18,Warriors, Andre Iguodala,,returned to lineup
